country,storeNumber,customerNumber,name,vat,checkoutCheckCode,limit,product,period,customerType,registrationDate
RO,4,"",Livepath,RO-000-2,,10200,BANK_TRANSFER,30,TRADER,1995-02-14
IT,1,1112,Edgeblab,IT-000-0,,12900,DIRECT_DEBIT,7,HORECA,2007-06-11
IT,2,6546,Dabfeed,IT-000-0,,40400,BANK_TRANSFER,1,SCO,1988-10-24
RO,2,7673,Wikizz,RO-000-7,,12700,BANK_TRANSFER,21,SCO,2006-12-26
DE,1,3295,Ooba,DE-000-4,,2100,BANK_TRANSFER,2,SCO,2004-01-30
IT,1,5214,Devbug,IT-000-6,,11100,BANK_TRANSFER,3,SCO,1997-01-21
RO,3,2332,Plambee,RO-000-6,,34100,BANK_TRANSFER,15,HORECA,2016-01-15
IT,5,1468,Trudeo,IT-000-6,,48600,BANK_TRANSFER,30,HORECA,2005-05-23
FR,5,5563,Latz,FR-000-3,,35500,BANK_TRANSFER,60,TRADER,2001-10-31
DE,2,4273,Wikizz,DE-000-3,,21900,BANK_TRANSFER,30,SCO,1991-10-30
IT,1,2041,Buzzbean,IT-000-6,,34900,DIRECT_DEBIT,70,TRADER,1986-11-04
RO,5,5520,Skynoodle,RO-000-0,,7200,DIRECT_DEBIT,1,TRADER,1983-03-27
RO,4,9706,Youtags,RO-000-9,31,5400,DIRECT_DEBIT,20,HORECA,2017-12-09
RO,5,1261,Brainverse,RO-000-8,,45300,DIRECT_DEBIT,30,SCO,2004-01-07
FR,2,5694,Feedfire,FR-000-7,30,5200,BANK_TRANSFER,25,SCO,2001-05-16
IT,2,2359,Oloo,IT-000-7,,31800,DIRECT_DEBIT,5,SCO,1992-10-19
IT,5,6964,Centimia,IT-000-4,,19800,DIRECT_DEBIT,70,TRADER,1996-05-16
RO,2,1537,Voolia,RO-000-4,,23700,BANK_TRANSFER,10,SCO,1998-09-08
RO,4,1975,Agivu,RO-000-0,30,41100,BANK_TRANSFER,70,HORECA,2019-01-17
FR,4,7776,Buzzbean,FR-000-9,,21100,DIRECT_DEBIT,15,TRADER,2019-06-02
FR,2,9606,Dynazzy,FR-000-9,,16200,DIRECT_DEBIT,15,HORECA,1989-01-10
DE,5,8093,Fivebridge,DE-000-3,,39700,DIRECT_DEBIT,21,TRADER,1986-02-05
DE,2,2489,Kwinu,DE-000-3,,9900,BANK_TRANSFER,3,TRADER,1983-04-13
RO,2,6081,Eayo,RO-000-7,,31300,BANK_TRANSFER,25,HORECA,1983-03-28
FR,3,5834,Linkbuzz,FR-000-0,,21800,DIRECT_DEBIT,60,TRADER,1997-01-06
IT,2,3155,DabZ,IT-000-4,,30600,BANK_TRANSFER,2,HORECA,2012-12-22
FR,3,5899,Devpulse,FR-000-3,,42800,DIRECT_DEBIT,70,SCO,2003-11-18
RO,2,2306,Tagtune,RO-000-9,,34300,BANK_TRANSFER,7,TRADER,2005-08-04
IT,2,8906,Kanoodle,IT-000-9,,26500,BANK_TRANSFER,60,SCO,1983-07-06
FR,4,8827,Kare,FR-000-9,,23400,BANK_TRANSFER,60,SCO,2006-11-22
RO,2,6716,Ooba,RO-000-2,,27300,DIRECT_DEBIT,25,SCO,2009-03-28
RO,5,3863,Twitterbridge,RO-000-9,,29700,DIRECT_DEBIT,70,HORECA,1986-11-25
FR,4,8490,Aimbo,FR-000-9,,6400,BANK_TRANSFER,70,HORECA,1981-10-08
RO,2,8281,Avamba,RO-000-7,,12600,DIRECT_DEBIT,25,SCO,2015-05-05
FR,2,9786,Photobean,FR-000-8,,49400,DIRECT_DEBIT,20,TRADER,1993-08-07
RO,2,9224,Zazio,RO-000-6,,26600,BANK_TRANSFER,70,TRADER,1996-01-08
RO,4,9058,Babbleset,RO-000-4,,29500,DIRECT_DEBIT,70,HORECA,1983-11-13
RO,4,6856,Riffwire,RO-000-3,31,45300,DIRECT_DEBIT,20,TRADER,1985-08-21
IT,1,1830,Yotz,IT-000-2,,10500,DIRECT_DEBIT,21,HORECA,2005-11-18
RO,1,6361,Vipe,RO-000-5,,34400,DIRECT_DEBIT,25,SCO,2012-11-16
IT,1,6645,Youfeed,IT-000-4,,31800,DIRECT_DEBIT,20,SCO,1989-12-05
RO,3,8465,Tambee,RO-000-8,,45400,DIRECT_DEBIT,20,TRADER,1987-01-11
IT,4,1785,Skinix,IT-000-0,,49800,DIRECT_DEBIT,25,TRADER,1998-02-09
RO,5,2271,Snaptags,RO-000-5,,29400,BANK_TRANSFER,30,HORECA,1998-12-31
RO,5,7503,Zoovu,RO-000-5,,17600,DIRECT_DEBIT,120,SCO,1997-09-29
IT,1,1238,Wikibox,IT-000-5,,18600,DIRECT_DEBIT,60,HORECA,1995-10-04
IT,2,6497,Devbug,IT-000-7,,40300,DIRECT_DEBIT,60,HORECA,2021-11-20
DE,5,4830,Wikivu,DE-000-7,,13700,BANK_TRANSFER,70,TRADER,2020-03-04
IT,3,5879,Skinte,IT-000-9,,37200,DIRECT_DEBIT,30,TRADER,1981-07-22
DE,3,5451,Abatz,DE-000-7,,1100,BANK_TRANSFER,1,SCO,1982-03-07
IT,3,7632,Zoombox,IT-000-4,,28200,DIRECT_DEBIT,1,SCO,1998-07-02
FR,1,4022,Geba,FR-000-5,,21000,BANK_TRANSFER,30,HORECA,2004-04-19
DE,3,6453,Blognation,DE-000-8,,44700,BANK_TRANSFER,3,SCO,1984-07-05
FR,2,8915,Tekfly,FR-000-2,,17100,BANK_TRANSFER,7,HORECA,2005-06-21
FR,3,8441,Rhybox,FR-000-4,,20300,BANK_TRANSFER,20,SCO,1994-06-25
RO,2,3147,Oyoba,RO-000-6,,2000,DIRECT_DEBIT,25,SCO,1984-11-22
RO,1,4647,Fivebridge,RO-000-8,,39100,DIRECT_DEBIT,30,SCO,1987-05-20
RO,2,6040,Meezzy,RO-000-0,,12600,BANK_TRANSFER,70,HORECA,2003-03-16
IT,5,9106,Twinder,IT-000-0,,12300,DIRECT_DEBIT,5,HORECA,1991-07-08
FR,3,3166,Rhyloo,FR-000-6,31,48400,BANK_TRANSFER,7,HORECA,2010-03-24
RO,3,6866,Voonte,RO-000-7,,22100,BANK_TRANSFER,10,SCO,1994-08-23
RO,3,5967,Tagpad,RO-000-9,30,19100,BANK_TRANSFER,25,HORECA,2017-05-09
FR,1,4233,Skyba,FR-000-3,,26100,DIRECT_DEBIT,30,HORECA,2009-08-07
RO,4,6054,JumpXS,RO-000-9,,26900,BANK_TRANSFER,30,HORECA,2015-08-09
FR,2,7827,Twitterbridge,FR-000-6,,13900,DIRECT_DEBIT,15,HORECA,2014-07-23
FR,2,9328,Trunyx,FR-000-7,31,23000,DIRECT_DEBIT,20,SCO,1989-12-23
FR,2,9228,Layo,FR-000-3,,31900,DIRECT_DEBIT,20,SCO,2009-02-05
FR,2,1276,Brainsphere,FR-000-5,,35400,DIRECT_DEBIT,20,TRADER,1984-03-27
IT,3,8382,Agimba,IT-000-9,31,28000,DIRECT_DEBIT,21,TRADER,2018-04-16
IT,4,7463,Voomm,IT-000-9,31,36700,BANK_TRANSFER,20,HORECA,2014-01-19
IT,1,9850,Yadel,IT-000-8,,2100,BANK_TRANSFER,3,HORECA,1982-01-07
